scope,profile_id,feature,n,mean,sd,bootstrap_low,bootstrap_high
doc,P1,token_proxy_count,20,1413.5,224.5734,1322.5975,1512.0512
doc,P1,sentence_count,20,73.2,17.2797,65.65,80.35
doc,P1,avg_chars_per_sentence,20,36.0979,8.9822,32.5672,40.2997
doc,P1,heading_count,20,9.25,2.4468,8.25,10.35
doc,P1,list_item_count,20,12.1,5.7574,9.7,14.65
doc,P1,formula_marker_count,20,25.45,12.0938,20.45,30.85
doc,P1,code_block_count,20,1.5,0.8885,1.15,1.9
doc,P1,code_line_count,20,0.0,0.0,0.0,0.0
doc,P1,node_count,20,0.0,0.0,0.0,0.0
doc,P1,edge_count,20,0.0,0.0,0.0,0.0
doc,P1,resource_item_count,20,0.0,0.0,0.0,0.0
doc,P1,jargon_marker_count,20,3.35,2.6611,2.3,4.55
doc,P1,citation_count,20,6.0,0.0,6.0,6.0
doc,P2,char_count,20,2449.7,453.1089,2255.5988,2639.8525
doc,P2,token_proxy_count,20,1322.3,206.3926,1229.3975,1407.55
doc,P2,sentence_count,20,68.75,14.2418,62.65,74.7
doc,P2,avg_chars_per_sentence,20,36.4854,7.1105,33.4828,39.6653
doc,P2,heading_count,20,9.05,2.0384,8.25,9.95
doc,P2,list_item_count,20,12.5,6.6925,9.95,15.6
doc,P2,formula_marker_count,20,26.75,14.9416,20.8488,33.5
doc,P2,code_block_count,20,1.25,0.5501,1.05,1.5
doc,P2,code_line_count,20,0.0,0.0,0.0,0.0
doc,P2,node_count,20,0.0,0.0,0.0,0.0
doc,P2,edge_count,20,0.0,0.0,0.0,0.0
doc,P2,resource_item_count,20,0.0,0.0,0.0,0.0
doc,P2,jargon_marker_count,20,4.4,3.1855,3.1,5.85
doc,P2,citation_count,20,6.0,0.0,6.0,6.0
doc,P3,char_count,20,2516.35,399.1349,2357.9963,2698.755
doc,P3,token_proxy_count,20,1367.55,181.6745,1289.45,1444.2513
doc,P3,sentence_count,20,73.9,16.0621,67.35,80.8
doc,P3,avg_chars_per_sentence,20,34.9901,6.2873,32.3768,37.7792
doc,P3,heading_count,20,9.25,2.6132,8.25,10.45
doc,P3,list_item_count,20,12.65,5.1122,10.55,14.9
doc,P3,formula_marker_count,20,27.1,11.4657,22.1,31.9
doc,P3,code_block_count,20,1.2,0.5231,1.0,1.45
doc,P3,code_line_count,20,0.0,0.0,0.0,0.0
doc,P3,node_count,20,0.0,0.0,0.0,0.0
doc,P3,edge_count,20,0.0,0.0,0.0,0.0
doc,P3,resource_item_count,20,0.0,0.0,0.0,0.0
doc,P3,jargon_marker_count,20,4.25,3.3853,2.9,5.75
doc,P3,citation_count,20,6.0,0.0,6.0,6.0
code,P1,char_count,20,1476.8,904.3617,1118.05,1884.0037
code,P1,token_proxy_count,20,486.8,227.6458,394.845,587.15
code,P1,sentence_count,20,25.9,20.8476,17.85,35.45
code,P1,avg_chars_per_sentence,20,79.05,63.7838,55.1944,108.3869
code,P1,heading_count,20,2.5,4.0197,1.0,4.35
code,P1,list_item_count,20,1.9,2.7511,0.8,3.1
code,P1,formula_marker_count,20,41.85,42.4615,26.0988,61.0
code,P1,code_block_count,20,0.0,0.0,0.0,0.0
code,P1,code_line_count,20,60.55,39.1884,44.6487,78.15
code,P1,node_count,20,0.0,0.0,0.0,0.0
code,P1,edge_count,20,0.0,0.0,0.0,0.0
code,P1,resource_item_count,20,0.0,0.0,0.0,0.0
code,P1,jargon_marker_count,20,1.35,1.2258,0.85,1.9
code,P1,citation_count,20,0.0,0.0,0.0,0.0
code,P2,char_count,20,1638.75,739.5117,1338.3475,1961.6187
code,P2,token_proxy_count,20,519.8,172.7437,444.5975,591.9025
code,P2,sentence_count,20,28.8,24.6055,19.0,39.6012
code,P2,avg_chars_per_sentence,20,90.2045,67.1838,63.9512,121.6695
code,P2,heading_count,20,2.4,3.2671,1.1,3.85
code,P2,list_item_count,20,1.6,2.8172,0.6,2.9
code,P2,formula_marker_count,20,45.75,42.5291,30.55,66.2012
code,P2,code_block_count,20,0.0,0.0,0.0,0.0
code,P2,code_line_count,20,68.35,33.4684,54.65,83.2
code,P2,node_count,20,0.0,0.0,0.0,0.0
code,P2,edge_count,20,0.0,0.0,0.0,0.0
code,P2,resource_item_count,20,0.0,0.0,0.0,0.0
code,P2,jargon_marker_count,20,1.7,1.4546,1.1,2.35
code,P2,citation_count,20,0.0,0.0,0.0,0.0
code,P3,char_count,20,1693.0,816.3747,1352.8925,2034.7513
code,P3,token_proxy_count,20,524.1,193.6788,439.5913,606.9525
code,P3,sentence_count,20,32.8,24.3042,22.8987,43.55
code,P3,avg_chars_per_sentence,20,79.7161,69.9885,53.9905,113.6479
code,P3,heading_count,20,2.95,4.4895,1.15,4.95
code,P3,list_item_count,20,1.8,2.5464,0.8,3.0
code,P3,formula_marker_count,20,46.8,43.4131,31.15,67.6
code,P3,code_block_count,20,0.0,0.0,0.0,0.0
code,P3,code_line_count,20,69.3,39.4209,53.55,87.1
code,P3,node_count,20,0.0,0.0,0.0,0.0
code,P3,edge_count,20,0.0,0.0,0.0,0.0
