triplet_id,course_name,topic,agent_id,profile_id,char_count,token_proxy_count,sentence_count,avg_chars_per_sentence,heading_count,list_item_count,formula_marker_count,code_block_count,code_line_count,node_count,edge_count,resource_item_count,jargon_marker_count,citation_count
E1-T-c473af356bf9,计算机网络,DNS 解析过程,code,P3,3235.0,927.0,90.0,35.94444444444444,0.0,4.0,62.0,0.0,146.0,0.0,0.0,0.0,3.0,0.0
E1-T-c473af356bf9,计算机网络,DNS 解析过程,code,P1,1310.0,539.0,40.0,32.75,3.0,8.0,13.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0
E1-T-a44a9df101b5,机器学习,K-Means 聚类,code,P1,1073.0,351.0,26.0,41.26923076923077,5.0,0.0,26.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
E1-T-a44a9df101b5,机器学习,K-Means 聚类,code,P3,1996.0,573.0,53.0,37.660377358490564,11.0,0.0,48.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0
E1-T-a44a9df101b5,机器学习,K-Means 聚类,code,P2,1461.0,387.0,43.0,33.97674418604651,5.0,0.0,31.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
E1-T-0f49ce567963,计算机网络,DNS 解析过程,doc,P1,2944.0,1603.0,103.0,28.58252427184466,7.0,15.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-0f49ce567963,计算机网络,DNS 解析过程,doc,P2,2326.0,1130.0,62.0,37.516129032258064,9.0,12.0,14.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0
E1-T-0f49ce567963,计算机网络,DNS 解析过程,doc,P3,2679.0,1599.0,102.0,26.264705882352942,10.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0
E1-T-fc49d9caf3a0,操作系统,信号量与互斥锁,doc,P3,2238.0,1224.0,79.0,28.329113924050635,7.0,17.0,20.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0
E1-T-fc49d9caf3a0,操作系统,信号量与互斥锁,doc,P1,1977.0,1214.0,55.0,35.945454545454545,13.0,4.0,13.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-fc49d9caf3a0,操作系统,信号量与互斥锁,doc,P2,2448.0,1348.0,73.0,33.534246575342465,9.0,6.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-2a44dae2d9ce,数据结构与算法,拓扑排序,doc,P2,2153.0,1283.0,65.0,33.12307692307692,8.0,18.0,21.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0
E1-T-2a44dae2d9ce,数据结构与算法,拓扑排序,doc,P3,2086.0,1241.0,64.0,32.59375,8.0,8.0,24.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0
E1-T-2a44dae2d9ce,数据结构与算法,拓扑排序,doc,P1,1874.0,1120.0,60.0,31.233333333333334,8.0,13.0,15.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0
E1-T-f612b5811104,数据结构与算法,KMP 字符串匹配,reading,P2,1761.0,805.0,27.0,65.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0
E1-T-f612b5811104,数据结构与算法,KMP 字符串匹配,reading,P3,1760.0,810.0,31.0,56.774193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-f612b5811104,数据结构与算法,KMP 字符串匹配,reading,P1,1683.0,759.0,20.0,84.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
E1-T-58a5fd1ce59c,计算机网络,TCP 三次握手,code,P2,2659.0,787.0,48.0,55.395833333333336,0.0,11.0,73.0,0.0,140.0,0.0,0.0,0.0,3.0,0.0
E1-T-58a5fd1ce59c,计算机网络,TCP 三次握手,code,P1,2335.0,762.0,38.0,61.44736842105263,0.0,6.0,75.0,0.0,107.0,0.0,0.0,0.0,3.0,0.0
E1-T-58a5fd1ce59c,计算机网络,TCP 三次握手,code,P3,2371.0,765.0,45.0,52.68888888888889,0.0,5.0,59.0,0.0,106.0,0.0,0.0,0.0,3.0,0.0
E1-T-350f02e0d3df,机器学习,PCA 主成分分析,doc,P1,2032.0,1179.0,74.0,27.45945945945946,10.0,11.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
E1-T-350f02e0d3df,机器学习,PCA 主成分分析,doc,P3,2665.0,1500.0,89.0,29.9438202247191,12.0,12.0,35.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-350f02e0d3df,机器学习,PCA 主成分分析,doc,P2,2455.0,1412.0,82.0,29.9390243902439,13.0,12.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
E1-T-5a959897d95a,数据结构与算法,红黑树,path,P3,678.0,481.0,1.0,678.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,15.0,0.0
E1-T-5a959897d95a,数据结构与算法,红黑树,path,P1,892.0,648.0,1.0,892.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-5a959897d95a,数据结构与算法,红黑树,path,P2,893.0,597.0,1.0,893.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,5.0,0.0
E1-T-4dc2c0f7e4a1,数据结构与算法,Dijkstra 最短路径,doc,P2,2983.0,1520.0,72.0,41.43055555555556,9.0,35.0,62.0,2.0,0.0,0.0,0.0,0.0,9.0,6.0
E1-T-4dc2c0f7e4a1,数据结构与算法,Dijkstra 最短路径,doc,P3,1955.0,1022.0,57.0,34.29824561403509,7.0,14.0,35.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0
E1-T-4dc2c0f7e4a1,数据结构与算法,Dijkstra 最短路径,doc,P1,2338.0,1391.0,71.0,32.929577464788736,7.0,12.0,35.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0
E1-T-6d784237716e,计算机组成原理,IEEE 754 浮点数,quiz,P3,1058.0,522.0,28.0,37.785714285714285,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-6d784237716e,计算机组成原理,IEEE 754 浮点数,quiz,P2,1553.0,639.0,24.0,64.70833333333333,0.0,4.0,49.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-6d784237716e,计算机组成原理,IEEE 754 浮点数,quiz,P1,768.0,316.0,20.0,38.4,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-1b828209442a,计算机组成原理,虚地址翻译,reading,P1,1700.0,358.0,12.0,141.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-1b828209442a,计算机组成原理,虚地址翻译,reading,P2,1757.0,374.0,17.0,103.3529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-1b828209442a,计算机组成原理,虚地址翻译,reading,P3,1702.0,388.0,26.0,65.46153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-2f5b8a9c60c4,计算机组成原理,虚地址翻译,path,P2,816.0,558.0,1.0,816.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,7.0,0.0
E1-T-2f5b8a9c60c4,计算机组成原理,虚地址翻译,path,P1,870.0,619.0,1.0,870.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-2f5b8a9c60c4,计算机组成原理,虚地址翻译,path,P3,706.0,493.0,1.0,706.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,10.0,0.0
E1-T-dc092d5cbc35,操作系统,信号量与互斥锁,code,P2,1059.0,429.0,8.0,132.375,0.0,3.0,13.0,0.0,49.0,0.0,0.0,0.0,2.0,0.0
E1-T-dc092d5cbc35,操作系统,信号量与互斥锁,code,P3,1026.0,375.0,11.0,93.27272727272727,0.0,4.0,15.0,0.0,45.0,0.0,0.0,0.0,2.0,0.0
E1-T-dc092d5cbc35,操作系统,信号量与互斥锁,code,P1,1079.0,431.0,8.0,134.875,0.0,3.0,13.0,0.0,52.0,0.0,0.0,0.0,2.0,0.0
E1-T-b232471d42fd,操作系统,死锁四条件,code,P1,1207.0,493.0,8.0,150.875,0.0,3.0,18.0,0.0,57.0,0.0,0.0,0.0,2.0,0.0
E1-T-b232471d42fd,操作系统,死锁四条件,code,P2,1239.0,442.0,9.0,137.66666666666666,0.0,3.0,8.0,0.0,53.0,0.0,0.0,0.0,2.0,0.0
E1-T-b232471d42fd,操作系统,死锁四条件,code,P3,1274.0,472.0,14.0,91.0,0.0,9.0,6.0,0.0,53.0,0.0,0.0,0.0,2.0,0.0
E1-T-3f28b39924ab,计算机组成原理,Cache 映射与替换,quiz,P1,1607.0,668.0,22.0,73.04545454545455,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
